FID,IID,SOL,C1,C2,C3,C4
TSI,64,0,0.0423045,-0.0891003,-0.0159583,0.000217109
TSI,65,0,0.0434006,-0.088795,-0.0151262,0.00101424
TSI,66,0,0.0426672,-0.087206,-0.0132934,0.00206049
TSI,67,0,0.0430265,-0.0873994,-0.0153376,-5.13297e-05
TSI,68,0,0.0423016,-0.087921,-0.0157346,0.000990548
TSI,69,0,0.0408966,-0.0887585,-0.0162597,0.000606137
TSI,70,0,0.0412574,-0.0885557,-0.0126095,0.00194052
TSI,71,0,0.043768,-0.088826,-0.0133956,0.00116361
TSI,72,0,0.0428371,-0.0895945,-0.0141478,0.00172492
TSI,73,0,0.0420245,-0.088626,-0.0125872,0.000404886
TSI,74,0,0.0424598,-0.0883859,-0.015377,0.00165792
TSI,75,0,0.0421325,-0.0881525,-0.0180112,0.000221253
TSI,76,0,0.0429445,-0.0889282,-0.0162149,0.00207162
TSI,77,0,0.0447081,-0.0876963,-0.0144362,0.00257517
TSI,78,0,0.0426188,-0.0877901,-0.0138216,0.00166413
TSI,79,0,0.0424595,-0.0869466,-0.0158682,0.0010395
TSI,80,0,0.0438843,-0.0883334,-0.0163572,0.00126342
TSI,81,0,0.0422686,-0.0888224,-0.0131363,0.00123559
TSI,82,0,0.043634,-0.0881237,-0.0150619,0.00197252
TSI,83,0,0.0396677,-0.0909927,-0.0122049,7.1154e-05
TSI,84,0,0.0432094,-0.0874914,-0.0148192,0.000216908
TSI,85,0,0.0427155,-0.0879446,-0.0140354,0.00108183
TSI,86,0,0.0426216,-0.0904874,-0.0149694,-0.00122907
TSI,87,0,0.0416037,-0.0892844,-0.0140867,0.00158314
TSI,88,0,0.0408788,-0.087359,-0.0161921,0.00161002
JPT,1,0,0.0929811,0.0700862,-0.00685415,0.000136448
JPT,2,0,0.0936269,0.0690443,-0.00579824,0.00124986
JPT,3,0,0.0935308,0.0698253,-0.0056102,-0.000834831
JPT,4,0,0.0937754,0.0699376,-0.00512736,0.00218151
JPT,5,0,0.0937801,0.0693403,-0.0047938,-0.00126198
JPT,6,0,0.0925387,0.0700104,-0.00562038,0.00197377
JPT,7,0,0.0934461,0.0691509,-0.00243315,0.00114957
JPT,8,0,0.0931821,0.0703144,-0.00444702,1.78558e-05
JPT,9,0,0.0932229,0.0683568,-0.00618016,-0.000406889
JPT,10,0,0.0936467,0.069231,-0.00570882,-4.32644e-05
JPT,11,0,0.0937549,0.071302,-0.00534626,0.0010243
JPT,12,0,0.095292,0.0707185,-0.00530396,0.000621904
JPT,13,0,0.0924961,0.0691616,-0.00526625,0.000581752
